I;II;III;IV;V;GS;suma;BP;z-s;Liczba;b³;as;eff%;liczba;b³1;poz%;perf%;liczba1;b³2;blok;Pkt;skut%;eff%1;pkt;wyblok;Nazwisko;Klub;Klucz;Data spotkania
4;3;2;3;5;-;17;8;3;22;3;1;9%;35;4;49%;11%;44;4;3;15;34%;18%;1;2;7 Andrea Kossanyiova ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 12:30
2;1;6;1;3;-;15;4;14;14;0;0;0%;0;0;-;-;17;1;0;12;71%;65%;3;8;8 Izabela Ba³ucka ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 12:30
1;6;5;*;2;-;9;3;-3;11;3;0;-27%;33;2;61%;6%;24;2;5;9;38%;8%;0;1;9 Natalia Murek ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 12:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;10 Agnieszka Adamek (L);I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 12:30
;;*;*;;-;1;0;1;1;0;0;0%;0;0;-;-;1;0;0;1;100%;100%;0;0;11 Adrianna Szady ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 12:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;12 Julia Pañko ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 12:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;13 Joanna Chor¹¿a ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 12:30
;;*;*;*;-;3;0;2;5;1;0;-20%;0;0;-;-;6;0;0;1;17%;17%;2;1;15 Nina Kociæ ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 12:30
*;*;*;*;*;-;0;0;0;0;0;0;-;20;0;55%;5%;0;0;0;0;-;-;0;0;17 Anna Bodasiñska (L);I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 12:30
6;5;4;5;1;-;3;3;1;15;0;1;7%;0;0;-;-;6;2;0;1;17%;-17%;1;3;19 Anna Kaczmar ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 12:30
5;4;3;4;6;-;18;5;12;17;1;1;6%;1;0;100%;0%;32;2;3;14;44%;28%;3;6;22 Karolina Fedorek ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 12:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;23 Julia Stancelewska ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 12:30
2;2;2;;;-;4;1;1;17;2;0;-12%;1;0;100%;100%;5;0;1;4;80%;60%;0;3;5 Ma³gorzata Lisiak ;I£ Capital Legionovia Legionowo;26.11.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;26.11.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;6 Anna Lewandowska ;I£ Capital Legionovia Legionowo;26.11.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;26.11.2021, 17:30
6;6;6;;;-;3;3;1;11;1;3;18%;0;0;-;-;1;0;1;0;0%;-100%;0;0;7 Martyna £azowska ;I£ Capital Legionovia Legionowo;26.11.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;26.11.2021, 17:30
4;4;4;;;-;12;10;11;14;1;1;7%;8;0;75%;63%;26;0;0;7;27%;27%;4;2;8 Zuzanna Górecka ;I£ Capital Legionovia Legionowo;26.11.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;26.11.2021, 17:30
5;5;5;;;-;8;5;4;9;0;0;0%;0;0;-;-;9;3;1;4;44%;0%;4;3;9 Weronika Centka ;I£ Capital Legionovia Legionowo;26.11.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;26.11.2021, 17:30
3;3;3;;;-;10;4;6;11;1;0;-9%;0;0;-;-;27;2;1;9;33%;22%;1;3;10 Ana Cleger ;I£ Capital Legionovia Legionowo;26.11.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;26.11.2021, 17:30
1;1;1;;;-;12;6;11;12;1;1;8%;15;0;40%;33%;18;0;0;9;50%;50%;2;1;14 Monika Fedusio ;I£ Capital Legionovia Legionowo;26.11.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;26.11.2021, 17:30
;;*;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;16 Daria Skomorowska (L);I£ Capital Legionovia Legionowo;26.11.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;26.11.2021, 17:30
*;*;*;;;-;0;0;-1;0;0;0;-;11;1;45%;27%;0;0;0;0;-;-;0;0;18 Justyna £ysiak (L);I£ Capital Legionovia Legionowo;26.11.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;26.11.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;23 Maja Pelczarska ;I£ Capital Legionovia Legionowo;26.11.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;26.11.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;24 Paulina Damaske ;I£ Capital Legionovia Legionowo;26.11.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;26.11.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;91 Julia Szczurowska ;I£ Capital Legionovia Legionowo;26.11.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;26.11.2021, 17:30
5;1;3;;;-;9;0;-2;11;2;0;-18%;0;0;-;-;34;4;5;8;24%;-3%;1;2;1 Patrycja Balmas ;I£ Capital Legionovia Legionowo;26.11.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;26.11.2021, 17:30
*;;*;;;-;0;0;0;4;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;4 Kamila Kobus ;I£ Capital Legionovia Legionowo;26.11.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;26.11.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;6 Aleksandra Justka (L);I£ Capital Legionovia Legionowo;26.11.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;26.11.2021, 17:30
*;4;;;;-;0;0;0;1;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;7 Magdalena Mazurek ;I£ Capital Legionovia Legionowo;26.11.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;26.11.2021, 17:30
*;*;*;;;-;0;0;-3;0;0;0;-;22;3;55%;27%;0;0;0;0;-;-;0;0;8 Magdalena Saad (L);I£ Capital Legionovia Legionowo;26.11.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;26.11.2021, 17:30
6;2;4;;;-;5;2;-7;7;1;0;-14%;14;2;50%;14%;26;5;4;5;19%;-15%;0;1;9 Zuzanna Szperlak ;I£ Capital Legionovia Legionowo;26.11.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;26.11.2021, 17:30
3;5;1;;;-;5;0;2;6;2;0;-33%;31;0;48%;26%;20;0;1;5;25%;20%;0;0;10 Mariana Cassemiro ;I£ Capital Legionovia Legionowo;26.11.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;26.11.2021, 17:30
1;3;5;;;-;9;3;5;8;3;1;-25%;0;0;-;-;11;0;1;5;45%;36%;3;5;11 Paulina Majkowska ;I£ Capital Legionovia Legionowo;26.11.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;26.11.2021, 17:30
;*;2;;;-;0;0;0;2;0;0;0%;1;0;100%;0%;0;0;0;0;-;-;0;1;13 Kinga Ró¿yñska ;I£ Capital Legionovia Legionowo;26.11.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;26.11.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;15 Majka Szczepañska-Pogoda ;I£ Capital Legionovia Legionowo;26.11.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;26.11.2021, 17:30
2;*;6;;;-;0;0;-1;4;1;0;-25%;0;0;-;-;0;0;0;0;-;-;0;2;17 Paulina Ba³dyga ;I£ Capital Legionovia Legionowo;26.11.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;26.11.2021, 17:30
4;6;;;;-;1;1;-3;2;1;0;-50%;0;0;-;-;10;3;0;1;10%;-20%;0;1;18 Leticia Hage ;I£ Capital Legionovia Legionowo;26.11.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;26.11.2021, 17:30
5;6;2;2;6;-;6;2;4;10;1;0;-10%;0;0;-;-;9;0;1;3;33%;22%;3;1;1 Maja Tokarska ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;2 Lauren Barfield ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
4;5;1;1;5;-;23;7;14;14;2;1;0%;55;0;47%;18%;56;4;3;21;38%;25%;1;1;3 Olivia Ró¿añski ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
;*;*;*;;-;0;0;0;0;0;0;-;0;0;-;-;1;0;0;0;0%;0%;0;0;6 Magdalena Damaske ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
;*;*;*;*;-;1;0;1;2;0;0;0%;0;0;-;-;3;0;0;1;33%;33%;0;0;7 Daria Szczyrba ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;8 Sonia Stefanik ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
1;2;4;4;2;-;9;6;3;24;2;2;0%;24;0;46%;17%;20;2;2;4;20%;0%;3;2;10 Yaprak Erkek ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
*;*;*;*;*;-;0;0;-1;0;0;0;-;12;1;67%;25%;0;0;0;0;-;-;0;0;11 Izabela Lemañczyk (L);I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
;*;*;*;*;-;0;0;-1;3;1;0;-33%;0;0;-;-;0;0;0;0;-;-;0;0;12 Diana D¹browska ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;13 Hanna Tylska ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;14 Maja Szymañska ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;16 Klaudia Kulig (L);I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
6;1;3;3;1;-;28;4;15;18;3;1;-11%;0;0;-;-;51;7;3;26;51%;31%;1;1;17 Gyselle Silva Franco ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
2;3;5;5;3;-;10;5;5;15;4;0;-13%;1;0;0%;0%;11;0;1;7;64%;55%;3;2;18 Aleksandra Gryka ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
3;4;6;6;4;-;5;4;2;16;2;2;0%;1;0;0%;0%;7;1;0;3;43%;28%;0;0;21 Alicja Grabka ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
2;3;3;1;1;-;8;1;5;15;1;0;-7%;25;0;44%;28%;16;2;0;8;50%;38%;0;2;2 Martyna Grajber ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
*;*;*;*;*;-;0;0;-5;0;0;0;-;26;5;50%;15%;0;0;0;0;-;-;0;0;3 Paulina Maj-Erwardt (L);I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
;;*;2;2;-;8;3;8;8;0;0;0%;0;0;-;-;6;0;0;5;83%;83%;3;0;4 Joanna Pacak ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
;;*;;;-;0;0;-1;1;0;0;0%;4;0;50%;50%;7;1;0;0;0%;-14%;0;0;5 Pietra Jukoski ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
3;4;4;;;-;7;5;5;12;1;1;0%;0;0;-;-;8;1;0;1;13%;0%;5;1;6 Kamila Witkowska ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
;*;2;6;6;-;15;4;7;12;2;0;-17%;0;0;-;-;40;1;5;15;38%;23%;0;0;8 Weronika Sobiczewska ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
1;2;;;;-;2;0;1;6;0;0;0%;0;0;-;-;14;1;0;2;14%;7%;0;0;11 Ivna Colombo ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
4;5;5;3;3;-;2;1;1;21;1;0;5%;0;0;-;-;1;0;0;1;100%;100%;1;3;12 Roberta Ratzke ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
*;*;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;13 Krystyna Strasz (L);I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
*;;*;;;-;0;0;0;2;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;14 Angelika Gajer ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
6;1;1;5;5;-;9;1;6;13;0;0;0%;0;0;-;-;16;1;2;8;50%;31%;1;2;15 Klaudia Alagierska ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;18 Julita Piasecka ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
5;6;6;4;4;-;14;7;4;11;3;0;-27%;32;1;38%;16%;38;2;4;14;37%;21%;0;2;21 Veronica Jones-Perry ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;25 Zuzanna Pieniak ;I£ Capital Legionovia Legionowo;28.11.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;28.11.2021, 20:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;4 Aleksandra Szczepañska ;I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
*;*;*;*;;-;0;0;0;0;0;0;-;11;0;73%;36%;0;0;0;0;-;-;0;0;5 Agata Witkowska (L);I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
4;3;4;1;;-;8;3;2;11;0;0;0%;35;0;46%;26%;23;2;4;7;30%;4%;1;1;6 Aleksandra Wójcik ;I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
3;2;3;3;;-;21;5;11;13;2;1;-8%;0;0;-;-;43;2;6;18;42%;23%;2;1;8 Katarzyna Zaroœliñska-Król ;I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
5;4;5;5;;-;7;2;7;11;0;0;9%;0;0;-;-;12;0;0;5;42%;42%;2;0;9 Freya Aelbrecht ;I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
2;1;2;2;;-;8;2;5;13;3;0;-23%;0;0;-;-;10;0;0;6;60%;60%;2;1;10 Zuzanna Efimienko-M³otkowska ;I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
;;*;;;-;1;0;0;1;1;0;-100%;0;0;-;-;2;0;0;1;50%;50%;0;0;11 Kaisa Alanko ;I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
1;6;1;4;;-;9;4;1;13;2;0;0%;31;2;52%;19%;21;1;3;7;33%;14%;2;0;12 Alexandra Laziæ ;I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
*;;*;;;-;0;0;-1;0;0;0;-;6;1;33%;33%;0;0;0;0;-;-;0;0;13 Renata Bia³a ;I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
;;*;;;-;1;0;-1;3;0;0;0%;0;0;-;-;4;2;0;1;25%;-25%;0;1;15 Kornelia Moskwa ;I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
*;*;*;*;;-;1;0;0;2;0;0;0%;4;0;75%;50%;6;0;1;1;17%;0%;0;0;16 Srna Markoviæ ;I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
6;5;6;6;;-;1;0;-1;10;1;0;-10%;0;0;-;-;3;0;1;1;33%;0%;0;3;18 Katarzyna Skorupa ;I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;2 Gabriela Polañska ;I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
4;4;4;4;;-;29;13;20;15;4;0;-27%;0;0;-;-;47;2;3;26;55%;45%;3;5;3 Bruna Honorio Marques ;I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;6 Katarzyna Bagrowska ;I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
5;5;5;5;;-;20;9;19;14;1;2;14%;10;0;80%;30%;28;0;0;16;57%;56%;2;0;7 Jelena Blagojeviæ ;I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
6;6;6;6;;-;11;5;6;13;2;0;0%;2;0;50%;0%;14;1;2;6;43%;21%;5;2;8 Anna Stencel ;I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
1;1;1;1;;-;2;0;1;10;1;0;0%;0;0;-;-;3;0;0;2;67%;67%;0;2;10 Katarzyna Wenerska ;I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
*;*;*;*;;-;0;0;-1;0;0;0;-;17;1;65%;41%;0;0;0;0;-;-;0;0;12 Aleksandra Szczyg³owska (L);I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;14 Dominika Witowska ;I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
2;2;2;2;;-;10;3;4;21;2;0;-5%;36;0;69%;19%;27;2;2;9;33%;19%;1;1;15 Kara Bajema ;I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
;;*;;;-;2;0;2;0;0;0;-;0;0;-;-;3;0;0;2;67%;67%;0;0;16 Izabella Rapacz ;I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;20 Daria Przyby³a (L);I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
;;*;*;;-;3;1;3;2;0;0;0%;3;0;67%;0%;6;0;0;3;50%;50%;0;1;27 Ann Kalandadze ;I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
3;3;3;3;;-;7;4;1;24;3;1;0%;0;0;-;-;7;1;2;2;29%;-14%;4;2;95 Magdalena Jurczyk ;I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
;;*;;;-;0;0;0;1;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;98 Julia Biñczycka ;I£ Capital Legionovia Legionowo;29.11.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;29.11.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;2 Ewa Kwiatkowska ;I£ Capital Legionovia Legionowo;25.11.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;25.11.2021, 17:30
1;4;1;1;1;-;23;9;15;18;1;3;11%;51;3;47%;12%;42;0;4;19;45%;36%;1;1;3 Karolina Dru¿kowska ;I£ Capital Legionovia Legionowo;25.11.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;25.11.2021, 17:30
4;1;4;4;4;-;13;2;8;10;0;0;0%;18;0;56%;28%;39;3;2;10;26%;13%;3;1;8 Ewelina ¯urowska ;I£ Capital Legionovia Legionowo;25.11.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;25.11.2021, 17:30
;;;*;;-;0;0;0;1;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;9 Oriana Miechowicz ;I£ Capital Legionovia Legionowo;25.11.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;25.11.2021, 17:30
5;2;5;5;5;-;7;5;2;18;2;1;6%;1;0;0%;0%;16;2;1;2;13%;-6%;4;8;11 Justyna £ukasik ;I£ Capital Legionovia Legionowo;25.11.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;25.11.2021, 17:30
3;6;3;3;3;-;14;4;10;15;1;0;-7%;0;0;-;-;42;2;1;13;31%;24%;1;4;12 Monika Ga³kowska ;I£ Capital Legionovia Legionowo;25.11.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;25.11.2021, 17:30
*;*;;;*;-;4;2;0;2;0;0;0%;5;1;40%;20%;10;1;2;3;30%;0%;1;1;13 Emilia Mucha ;I£ Capital Legionovia Legionowo;25.11.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;25.11.2021, 17:30
2;5;2;2;2;-;13;7;8;14;3;2;-7%;0;0;-;-;13;1;1;8;62%;46%;3;5;14 Aleksandra Cygan ;I£ Capital Legionovia Legionowo;25.11.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;25.11.2021, 17:30
*;*;*;*;*;-;0;0;-1;0;0;0;-;15;1;53%;7%;0;0;0;0;-;-;0;0;15 Kinga Wysokiñska (L);I£ Capital Legionovia Legionowo;25.11.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;25.11.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;16 Oliwia Ba³uk (L);I£ Capital Legionovia Legionowo;25.11.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;25.11.2021, 17:30
;*;;;;-;2;1;2;1;0;0;0%;3;0;33%;33%;7;0;0;2;29%;28%;0;0;18 Aleksandra Dudek ;I£ Capital Legionovia Legionowo;25.11.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;25.11.2021, 17:30
