I;II;III;IV;V;GS;suma;BP;z-s;Liczba;b³;as;eff%;liczba;b³1;poz%;perf%;liczba1;b³2;blok;Pkt;skut%;eff%1;pkt;wyblok;Nazwisko;Klub;Klucz;Data spotkania
;;*;*;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;10 Agnieszka Adamek (L);I£ Capital Legionovia Legionowo;20.09.2020I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.09.2020, 17:30;2020/2021
6;1;5;1;;-;0;0;0;11;0;0;18%;0;0;-;-;2;0;0;0;0%;0%;0;4;11 Adrianna Szady ;I£ Capital Legionovia Legionowo;20.09.2020I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.09.2020, 17:30;2020/2021
*;;*;;;-;1;0;1;2;0;0;0%;0;0;-;-;2;0;0;1;50%;50%;0;1;14 Ma³gorzata Jasek ;I£ Capital Legionovia Legionowo;20.09.2020I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.09.2020, 17:30;2020/2021
*;*;*;*;;-;0;0;-1;0;0;0;-;13;1;31%;31%;0;0;0;0;-;-;0;0;15 Karolina Pancewicz (L);I£ Capital Legionovia Legionowo;20.09.2020I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.09.2020, 17:30;2020/2021
3;4;2;4;;-;11;1;1;15;2;0;-13%;0;0;-;-;35;3;5;11;31%;9%;0;1;16 Izabella Rapacz ;I£ Capital Legionovia Legionowo;20.09.2020I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.09.2020, 17:30;2020/2021
4;5;3;5;;-;21;10;15;11;0;0;9%;59;2;32%;12%;37;1;3;18;49%;38%;3;1;20 Anna B¹czyñska ;I£ Capital Legionovia Legionowo;20.09.2020I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.09.2020, 17:30;2020/2021
5;6;4;6;;-;6;3;1;13;4;0;-23%;0;0;-;-;4;0;1;2;50%;25%;4;6;22 Karolina Fedorek ;I£ Capital Legionovia Legionowo;20.09.2020I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.09.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;23 Paula Czerwiñska ;I£ Capital Legionovia Legionowo;20.09.2020I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.09.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;24 Julia Kleszcz ;I£ Capital Legionovia Legionowo;20.09.2020I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.09.2020, 17:30;2020/2021
5;5;5;2;5;-;6;4;4;13;1;1;0%;0;0;-;-;7;0;1;3;43%;28%;2;2;1 Maja Tokarska ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
3;3;3;6;3;-;11;5;3;11;4;0;-36%;0;0;-;-;27;2;2;10;37%;22%;1;1;3 Julie Oliveira Souza ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
1;1;1;4;1;-;16;4;5;14;4;1;-7%;22;1;18%;14%;42;3;3;15;36%;21%;0;3;4 Jessica Rivero Marin ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
4;4;4;1;4;-;30;10;21;16;0;0;19%;47;1;19%;6%;48;2;6;26;54%;38%;4;2;6 Olivia Ró¿añski ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
;;*;*;*;-;2;1;2;6;0;1;33%;1;0;100%;0%;1;0;0;1;100%;100%;0;0;7 Daria Szczyrba ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
2;2;2;5;2;-;12;2;11;26;0;1;8%;0;0;-;-;11;0;1;8;73%;64%;3;3;10 Shelly Stafford ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
*;*;*;*;*;-;0;0;-1;0;0;0;-;30;1;43%;27%;0;0;0;0;-;-;0;0;11 Izabela Lemañczyk (L);I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
;;;*;*;-;0;0;0;3;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;12 Diana D¹browska ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;14 Maja Szymañska ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
;*;;;;-;0;0;0;0;0;0;-;3;0;33%;0%;0;0;0;0;-;-;0;0;16 Klaudia Kulig (L);I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
*;;;;;-;0;0;0;1;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;17 Paulina Majkowska ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
6;6;6;3;6;-;5;2;4;15;1;1;0%;0;0;-;-;4;0;0;2;50%;50%;2;0;21 Alicja Grabka ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
;;*;*;*;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;2;62 Marta Matejko ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
4;1;1;1;2;-;6;5;0;16;0;0;0%;25;1;40%;20%;19;3;2;5;26%;0%;1;1;2 Martyna Grajber ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
6;6;6;6;1;-;3;0;2;14;1;0;0%;0;0;-;-;5;0;0;3;60%;60%;0;1;4 Marlena Kowalewska ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
2;2;2;2;3;-;11;4;8;23;2;0;17%;0;0;-;-;12;0;1;6;50%;42%;5;3;5 Agnieszka Korneluk ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
3;3;3;3;4;-;30;9;17;14;3;1;-14%;0;0;-;-;55;2;8;29;53%;35%;0;1;6 Jovana Brakocevic-Canzian ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;7 Katarzyna Po³eæ ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;8 Indy Baijens ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
5;5;5;5;6;-;22;10;16;14;2;1;-7%;0;0;-;-;23;4;0;15;65%;48%;6;5;9 Iga Wasilewska ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
;;*;*;5;-;7;1;4;5;0;0;0%;5;0;60%;0%;19;2;1;7;37%;21%;0;1;10 Wilma Salas Rosell ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
1;4;4;4;*;-;9;4;5;25;0;1;12%;38;3;53%;29%;22;1;0;7;32%;27%;1;3;11 Martyna £ukasik ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
*;*;*;*;*;-;0;0;-1;0;0;0;-;27;1;63%;26%;0;0;0;0;-;-;0;0;13 Paulina Maj-Erwardt (L);I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;14 Natalia Mêdrzyk ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;16 Aleksandra ¯urawska (L);I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
*;;*;;;-;0;0;-2;2;2;0;-100%;0;0;-;-;0;0;0;0;-;-;0;0;17 Paulina Ba³dyga ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;18.09.2020, 17:30;2020/2021
2;2;2;;;-;14;5;7;17;2;2;6%;0;0;-;-;25;4;1;11;44%;24%;1;0;3 Bruna Honorio Marques ;I£ Capital Legionovia Legionowo;21.09.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;21.09.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;4 Klaudia Laskowska ;I£ Capital Legionovia Legionowo;21.09.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;21.09.2020, 17:30;2020/2021
*;*;*;;;-;0;0;-1;0;0;0;-;15;1;53%;40%;0;0;0;0;-;-;0;0;5 Agata Witkowska (L);I£ Capital Legionovia Legionowo;21.09.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;21.09.2020, 17:30;2020/2021
1;1;1;;;-;6;1;4;9;0;1;11%;2;0;0%;0%;7;1;1;3;43%;14%;2;1;9 Andressa Picussa ;I£ Capital Legionovia Legionowo;21.09.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;21.09.2020, 17:30;2020/2021
6;6;6;;;-;15;6;6;9;3;0;-22%;15;1;53%;40%;31;3;2;12;39%;23%;3;0;10 Janisa Johnson ;I£ Capital Legionovia Legionowo;21.09.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;21.09.2020, 17:30;2020/2021
4;4;4;;;-;7;3;3;12;2;1;-8%;0;0;-;-;15;1;1;5;33%;20%;1;0;11 Justyna £ukasik ;I£ Capital Legionovia Legionowo;21.09.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;21.09.2020, 17:30;2020/2021
3;3;3;;;-;11;5;4;15;1;0;7%;28;1;36%;14%;21;1;4;10;48%;24%;1;0;12 Julia K¹kol ;I£ Capital Legionovia Legionowo;21.09.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;21.09.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;13 Renata Bia³a ;I£ Capital Legionovia Legionowo;21.09.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;21.09.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;14 Paulina Zaborowska ;I£ Capital Legionovia Legionowo;21.09.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;21.09.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;16 Sandra Szczygio³ ;I£ Capital Legionovia Legionowo;21.09.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;21.09.2020, 17:30;2020/2021
5;5;5;;;-;1;0;0;12;1;0;-8%;0;0;-;-;3;0;0;1;33%;33%;0;0;18 Katarzyna Skorupa ;I£ Capital Legionovia Legionowo;21.09.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;21.09.2020, 17:30;2020/2021
4;3;3;;;-;15;5;6;12;2;1;-8%;2;0;50%;50%;34;4;3;11;32%;12%;3;0;1 Alexandra Dascalu ;I£ Capital Legionovia Legionowo;21.09.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;21.09.2020, 17:30;2020/2021
*;*;*;;;-;0;0;-1;0;0;0;-;19;1;58%;32%;0;0;0;0;-;-;0;0;3 Monika Jag³a (L);I£ Capital Legionovia Legionowo;21.09.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;21.09.2020, 17:30;2020/2021
6;5;5;;;-;6;5;3;10;1;1;10%;2;0;0%;0%;6;0;2;1;17%;-17%;4;0;4 Marta Pol ;I£ Capital Legionovia Legionowo;21.09.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;21.09.2020, 17:30;2020/2021
;*;2;;;-;1;1;0;6;0;0;0%;0;0;-;-;2;0;1;0;0%;-50%;1;0;5 Magdalena Hawry³a ;I£ Capital Legionovia Legionowo;21.09.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;21.09.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;6 Julia Reszelewska (L);I£ Capital Legionovia Legionowo;21.09.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;21.09.2020, 17:30;2020/2021
1;6;6;;;-;1;0;0;11;1;0;-9%;0;0;-;-;3;0;0;1;33%;33%;0;0;7 Magdalena Mazurek ;I£ Capital Legionovia Legionowo;21.09.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;21.09.2020, 17:30;2020/2021
2;1;1;;;-;16;2;8;15;3;1;-7%;18;0;50%;33%;27;4;1;15;56%;37%;0;0;8 Ewelina ¯urowska ;I£ Capital Legionovia Legionowo;21.09.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;21.09.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;9 Paulina Reiter ;I£ Capital Legionovia Legionowo;21.09.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;21.09.2020, 17:30;2020/2021
;;*;;;-;2;0;1;2;0;0;0%;4;0;25%;25%;4;1;0;2;50%;25%;0;1;12 Natalia Lijewska ;I£ Capital Legionovia Legionowo;21.09.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;21.09.2020, 17:30;2020/2021
3;2;;;;-;2;1;1;5;1;0;-20%;1;0;100%;100%;1;0;0;1;100%;100%;1;0;13 Kinga Ró¿yñska ;I£ Capital Legionovia Legionowo;21.09.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;21.09.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;14 Agata Michalewicz ;I£ Capital Legionovia Legionowo;21.09.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;21.09.2020, 17:30;2020/2021
5;4;4;;;-;3;0;-2;7;0;0;0%;19;3;47%;26%;18;1;1;3;17%;6%;0;0;16 Emilia Mucha ;I£ Capital Legionovia Legionowo;21.09.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;21.09.2020, 17:30;2020/2021
;;*;;;-;2;1;2;3;0;0;0%;0;0;-;-;4;0;0;2;50%;50%;0;0;1 Judyta Gawlak ;I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
;*;5;;;-;6;3;4;5;0;1;20%;11;1;27%;9%;11;1;0;4;36%;27%;1;0;2 Angelika Wystel ;I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;3 Julia Rajewska ;I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
;;*;;;-;0;0;0;2;0;0;50%;0;0;-;-;0;0;0;0;-;-;0;0;6 Maja Pelczarska ;I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
2;3;2;;;-;7;2;0;9;3;0;-33%;19;2;47%;32%;20;1;1;6;30%;20%;1;1;7 Natalia Skrzypkowska ;I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
;*;;;;-;0;0;0;1;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;10 Patrycja G¹dek ;I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
6;1;6;;;-;3;1;0;8;1;0;0%;0;0;-;-;5;1;1;2;40%;0%;1;0;11 Gabriela Ponikowska ;I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
5;6;;;;-;1;0;-7;3;0;0;0%;15;3;40%;20%;12;2;3;1;8%;-33%;0;1;13 Marta Wellna ;I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
;*;*;;;-;6;2;-1;6;2;0;-17%;0;0;-;-;13;3;2;6;46%;8%;0;0;16 Alina Bartkowska ;I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
*;*;*;;;-;0;0;-1;0;0;0;-;23;1;48%;26%;0;0;0;0;-;-;0;0;17 Anna Bodasiñska (L);I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
*;;*;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;20 Anna Paw³owska (L);I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
3;4;3;;;-;7;2;1;12;3;0;-17%;0;0;-;-;10;2;1;6;60%;30%;1;1;21 Sonia Kubacka ;I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
1;2;1;;;-;3;0;2;11;1;0;9%;0;0;-;-;3;0;0;2;67%;67%;1;0;22 Sylwia Kucharska ;I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
4;5;4;;;-;6;2;3;3;1;0;-33%;0;0;-;-;13;1;1;5;38%;23%;1;0;23 Koleta £yszkiewicz ;I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
6;1;6;;;-;6;4;5;15;0;3;27%;0;0;-;-;4;1;0;3;75%;50%;0;1;1 Ewelina Polak ;I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
5;6;5;;;-;10;4;6;11;1;0;-9%;0;0;-;-;12;1;2;6;50%;25%;4;0;3 Monika Ptak ;I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;4 Karolina Bednarek ;I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
3;4;3;;;-;13;4;7;12;3;0;-25%;0;0;-;-;25;2;1;13;52%;40%;0;0;5 Julia Szczurowska ;I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;6 Julia Papszun ;I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
4;5;*;;;-;3;0;0;5;0;0;0%;13;0;31%;23%;10;3;0;2;20%;-10%;1;0;7 Magdalena Damaske-Dawid ;I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
;*;4;;;-;6;5;5;8;0;2;25%;12;1;50%;8%;6;0;0;3;50%;50%;1;0;8 Zuzanna Wawrzyniak ;I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
2;3;2;;;-;13;5;9;15;1;2;13%;0;0;-;-;15;1;2;8;53%;33%;3;2;9 Weronika Centka ;I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;10 Marta Budnik ;I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
*;*;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;12 Monika Ga³kowska ;I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;16 Julia Mazur (L);I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
*;*;*;;;-;0;0;0;0;0;0;-;13;0;77%;62%;0;0;0;0;-;-;0;0;18 Justyna £ysiak (L);I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;19 Patrycja Chrzan ;I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
1;2;1;;;-;4;4;1;7;0;0;0%;14;0;64%;29%;8;2;1;4;50%;12%;0;0;20 Oliwia Ba³uk ;I£ Capital Legionovia Legionowo;19.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.09.2020, 18:00;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;1 Katarina Osadchuk ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;18.09.2020, 18:00;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;4 Joanna Pacak ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;18.09.2020, 18:00;2020/2021
4;1;4;;;-;9;4;5;11;0;0;18%;39;1;51%;26%;24;0;3;8;33%;21%;1;1;6 Aleksandra Wójcik ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;18.09.2020, 18:00;2020/2021
1;4;1;;;-;12;6;2;13;3;2;8%;17;2;65%;18%;34;4;1;10;29%;15%;0;2;7 Katarina Lazoviæ ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;18.09.2020, 18:00;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;8 Aleksandra Szczepañska ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;18.09.2020, 18:00;2020/2021
5;2;5;;;-;6;3;6;11;0;1;9%;0;0;-;-;8;0;0;1;13%;12%;4;2;9 Nadja Ninkoviæ ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;18.09.2020, 18:00;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;10 Agata Wawrzyñczyk ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;18.09.2020, 18:00;2020/2021
6;3;6;;;-;5;3;2;11;2;1;-9%;0;0;-;-;6;0;1;3;50%;33%;1;6;12 Britt Bongaerts ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;18.09.2020, 18:00;2020/2021
*;*;*;;;-;0;0;0;0;0;0;-;8;0;75%;63%;0;0;0;0;-;-;0;0;13 Krystyna Strasz (L);I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;18.09.2020, 18:00;2020/2021
2;5;2;;;-;8;5;8;12;0;2;33%;2;0;0%;0%;4;0;0;2;50%;50%;4;2;15 Klaudia Alagierska-Szczepaniak ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;18.09.2020, 18:00;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;17 Oliwia Laszczyk ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;18.09.2020, 18:00;2020/2021
3;6;3;;;-;8;2;-2;10;1;0;0%;0;0;-;-;34;3;6;7;21%;-6%;1;1;18 Katarzyna Zaroœliñska-Król ;I£ Capital Legionovia Legionowo;18.09.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;18.09.2020, 18:00;2020/2021
