I;II;III;IV;V;Punkty;Liczba;as;b≥Ídy zagrywka;Asy na set;liczba;b≥Ídy przyjÍcie;Neg;Poz;poz%;Perf;perf%;liczba1;b≥Ídy atak;blok;Perf1;% perf;pkt;Pkt na set;Nazwisko;Klub;Klucz;Data spotkania;Sezon;Faza;Kolejka
*;4;;;;3;2;0;1;0,00;0;0;0;0;-;0;-;10;2;0;2;20%;1;0,50;14 Izabela KowaliÒska ;£KS Commercecon £Ûdü;16.03.2019£KS Commercecon £Ûdü-3:2-Chemik Police;16.03.2019, 20:30;2019/2020;zasadnicza;22
3;3;3;3;2;12;14;0;3;0,00;0;0;0;0;-;0;-;14;2;0;5;36%;7;1,40;15 Klaudia Alagierska-Szczepaniak ;£KS Commercecon £Ûdü;16.03.2019£KS Commercecon £Ûdü-3:2-Chemik Police;16.03.2019, 20:30;2019/2020;zasadnicza;22
6;6;6;6;5;10;13;0;3;0,00;0;0;0;0;-;0;-;18;0;1;8;44%;2;0,40;16 Zuzanna Efimienko-M≥otkowska ;£KS Commercecon £Ûdü;16.03.2019£KS Commercecon £Ûdü-3:2-Chemik Police;16.03.2019, 20:30;2019/2020;zasadnicza;22
*;*;1;1;6;5;25;3;2;0,60;2;0;1;1;50%;0;0%;6;0;0;2;33%;0;0,00;17 Marta WÛjcik ;£KS Commercecon £Ûdü;16.03.2019£KS Commercecon £Ûdü-3:2-Chemik Police;16.03.2019, 20:30;2019/2020;zasadnicza;22
4;5;4;4;6;11;18;1;3;0,20;32;0;6;22;69%;10;31%;38;5;3;9;24%;1;0,20;1 Bianka Busa ;Chemik Police;16.03.2019£KS Commercecon £Ûdü-3:2-Chemik Police;16.03.2019, 20:30;2019/2020;zasadnicza;22
1;2;1;1;3;10;22;2;2;0,40;27;1;5;14;52%;8;30%;33;3;0;8;24%;0;0,00;2 Martyna Grajber ;Chemik Police;16.03.2019£KS Commercecon £Ûdü-3:2-Chemik Police;16.03.2019, 20:30;2019/2020;zasadnicza;22
5;6;5;5;1;14;19;2;2;0,40;0;0;0;0;-;0;-;11;0;0;9;82%;3;0,60;6 Agnieszka Bednarek ;Chemik Police;16.03.2019£KS Commercecon £Ûdü-3:2-Chemik Police;16.03.2019, 20:30;2019/2020;zasadnicza;22
*;;*;*;*;0;3;0;1;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;7 Justyna £ukasik ;Chemik Police;16.03.2019£KS Commercecon £Ûdü-3:2-Chemik Police;16.03.2019, 20:30;2019/2020;zasadnicza;22
;*;*;*;*;1;2;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;1;0,25;8 Marlena Kowalewska ;Chemik Police;16.03.2019£KS Commercecon £Ûdü-3:2-Chemik Police;16.03.2019, 20:30;2019/2020;zasadnicza;22
2;3;2;2;4;9;8;0;0;0,00;0;0;0;0;-;0;-;25;1;2;9;36%;0;0,00;9 Iga Wasilewska ;Chemik Police;16.03.2019£KS Commercecon £Ûdü-3:2-Chemik Police;16.03.2019, 20:30;2019/2020;zasadnicza;22
3;4;3;3;*;13;8;0;4;0,00;1;0;1;0;0%;0;0%;45;2;6;12;27%;1;0,20;10 Sanja Gamma ;Chemik Police;16.03.2019£KS Commercecon £Ûdü-3:2-Chemik Police;16.03.2019, 20:30;2019/2020;zasadnicza;22
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;11 Martyna £ukasik ;Chemik Police;16.03.2019£KS Commercecon £Ûdü-3:2-Chemik Police;16.03.2019, 20:30;2019/2020;zasadnicza;22
6;1;6;6;2;6;9;0;2;0,00;0;0;0;0;-;0;-;4;0;0;4;100%;2;0,40;13 Sladjana MirkoviÊ ;Chemik Police;16.03.2019£KS Commercecon £Ûdü-3:2-Chemik Police;16.03.2019, 20:30;2019/2020;zasadnicza;22
*;*;*;*;5;6;10;1;0;0,20;2;0;1;0;0%;0;0%;17;1;4;5;29%;0;0,00;14 Natalia MÍdrzyk ;Chemik Police;16.03.2019£KS Commercecon £Ûdü-3:2-Chemik Police;16.03.2019, 20:30;2019/2020;zasadnicza;22
*;*;*;*;*;0;0;0;0;0,00;29;4;4;14;48%;8;28%;0;0;0;0;0%;0;0,00;17 Aleksandra Krzos (L);Chemik Police;16.03.2019£KS Commercecon £Ûdü-3:2-Chemik Police;16.03.2019, 20:30;2019/2020;zasadnicza;22
;;*;4;4;9;7;0;0;0,00;15;0;3;7;47%;1;7%;22;1;2;9;41%;0;0,00;1 Patrycja Balmas ;Bank Pocztowy Pa≥ac Bydgoszcz;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
*;*;*;*;*;0;0;0;0;0,00;29;1;14;7;24%;4;14%;0;0;0;0;0%;0;0,00;3 Monika Jag≥a (L);Bank Pocztowy Pa≥ac Bydgoszcz;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
2;2;2;2;2;7;22;1;1;0,20;0;0;0;0;-;0;-;9;1;0;4;44%;2;0,40;4 Marta Pol ;Bank Pocztowy Pa≥ac Bydgoszcz;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
5;5;5;5;5;13;23;2;4;0,40;0;0;0;0;-;0;-;14;1;2;7;50%;4;0,80;5 Anna Obia≥a ;Bank Pocztowy Pa≥ac Bydgoszcz;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;6 Julia Reszelewska (L);Bank Pocztowy Pa≥ac Bydgoszcz;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
6;6;6;6;6;3;14;0;0;0,00;1;0;1;0;0%;0;0%;5;0;1;2;40%;1;0,20;7 Magdalena Mazurek ;Bank Pocztowy Pa≥ac Bydgoszcz;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
4;4;4;;;13;15;1;1;0,33;18;1;9;7;39%;7;39%;24;0;5;10;42%;2;0,67;8 Ewelina Øurowska ;Bank Pocztowy Pa≥ac Bydgoszcz;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
3;3;3;3;3;15;18;1;2;0,20;1;0;0;0;0%;0;0%;47;3;5;13;28%;1;0,20;9 Tereza Vanzurova ;Bank Pocztowy Pa≥ac Bydgoszcz;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
;;*;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;11 Marta Biedziak ;Bank Pocztowy Pa≥ac Bydgoszcz;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;12 Natalia Lijewska ;Bank Pocztowy Pa≥ac Bydgoszcz;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;13 Kinga RÛøyÒska ;Bank Pocztowy Pa≥ac Bydgoszcz;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
1;1;1;1;1;23;15;0;1;0,00;41;1;21;11;27%;7;17%;38;2;3;20;53%;3;0,60;14 Monika Fedusio ;Bank Pocztowy Pa≥ac Bydgoszcz;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
;;*;;;3;1;0;0;0,00;0;0;0;0;-;0;-;9;2;1;3;33%;0;0,00;16 Izabella Rapacz ;Bank Pocztowy Pa≥ac Bydgoszcz;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
*;*;*;*;*;0;0;0;0;0,00;32;1;8;17;53%;7;22%;0;0;0;0;0%;0;0,00;1 Maria Stenzel (L);Grot Budowlani £Ûdü;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
3;1;1;1;1;4;22;1;1;0,20;1;0;1;0;0%;0;0%;7;1;1;3;43%;0;0,00;2 Julia Nowicka ;Grot Budowlani £Ûdü;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
5;3;3;*;3;5;16;0;2;0,00;0;0;0;0;-;0;-;12;3;0;2;17%;3;0,60;5 Ma≥gorzata Lisiak ;Grot Budowlani £Ûdü;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
4;2;2;2;2;20;26;1;1;0,20;43;2;8;28;65%;13;30%;40;3;1;14;35%;5;1,00;6 Charlotte Leys ;Grot Budowlani £Ûdü;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
1;5;5;5;;11;16;0;1;0,00;22;0;11;6;27%;3;14%;28;2;3;10;36%;1;0,25;7 Julia Kπkol ;Grot Budowlani £Ûdü;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
6;4;4;4;4;27;18;2;3;0,40;0;0;0;0;-;0;-;59;6;6;22;37%;3;0,60;8 Anastasiya Kraiduba ;Grot Budowlani £Ûdü;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
2;6;6;6;6;18;9;0;1;0,00;0;0;0;0;-;0;-;17;2;1;11;65%;7;1,40;9 Jaroslava Pencova ;Grot Budowlani £Ûdü;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;10 Gabriela Maciπgowski ;Grot Budowlani £Ûdü;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;11 Agata Babicz ;Grot Budowlani £Ûdü;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;13 Paulina Ba≥dyga ;Grot Budowlani £Ûdü;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
*;;*;3;*;2;5;0;0;0,00;0;0;0;0;-;0;-;6;0;0;2;33%;0;0,00;16 Anna Lewandowska ;Grot Budowlani £Ûdü;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;18 Karolina Garstka (L);Grot Budowlani £Ûdü;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
;*;;*;5;3;4;0;1;0,00;6;0;2;3;50%;2;33%;6;0;1;3;50%;0;0,00;20 Anna BπczyÒska ;Grot Budowlani £Ûdü;12.10.2019Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Grot Budowlani £Ûdü;12.10.2019, 17:00;2019/2020;zasadnicza;1
*;*;*;*;;0;0;0;0;0,00;27;3;8;13;48%;6;22%;0;0;0;0;0%;0;0,00;1 Adriana Adamek (L);Wis≥a Warszawa;12.10.2019Wis≥a Warszawa-1:3-#VolleyWroc≥aw;12.10.2019, 18:00;2019/2020;zasadnicza;1
3;2;3;2;;15;13;1;5;0,25;31;3;8;8;26%;4;13%;32;2;5;12;38%;2;0,50;3 Katarzyna Marcyniuk ;Wis≥a Warszawa;12.10.2019Wis≥a Warszawa-1:3-#VolleyWroc≥aw;12.10.2019, 18:00;2019/2020;zasadnicza;1
*;*;;;;0;2;0;1;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;6 Agnieszka Banasiak ;Wis≥a Warszawa;12.10.2019Wis≥a Warszawa-1:3-#VolleyWroc≥aw;12.10.2019, 18:00;2019/2020;zasadnicza;1
6;5;6;5;;12;15;2;0;0,50;23;1;8;9;39%;4;17%;30;2;1;10;33%;0;0,00;8 Ewelina Miko≥ajewska ;Wis≥a Warszawa;12.10.2019Wis≥a Warszawa-1:3-#VolleyWroc≥aw;12.10.2019, 18:00;2019/2020;zasadnicza;1
4;3;4;3;;12;18;3;4;0,75;2;0;1;1;50%;0;0%;17;2;1;7;41%;2;0,50;9 Aleksandra SzymaÒska ;Wis≥a Warszawa;12.10.2019Wis≥a Warszawa-1:3-#VolleyWroc≥aw;12.10.2019, 18:00;2019/2020;zasadnicza;1
1;6;1;6;;10;14;1;1;0,25;1;0;1;0;0%;0;0%;16;0;0;4;25%;5;1,25;10 Katarzyna Po≥eÊ ;Wis≥a Warszawa;12.10.2019Wis≥a Warszawa-1:3-#VolleyWroc≥aw;12.10.2019, 18:00;2019/2020;zasadnicza;1
2;1;2;1;;6;21;1;2;0,25;0;0;0;0;-;0;-;5;0;0;4;80%;1;0,25;14 Katarzyna Olczyk ;Wis≥a Warszawa;12.10.2019Wis≥a Warszawa-1:3-#VolleyWroc≥aw;12.10.2019, 18:00;2019/2020;zasadnicza;1
5;4;5;4;;9;13;0;1;0,00;3;1;0;2;67%;2;67%;30;1;6;9;30%;0;0,00;16 Aleksandra Lipska ;Wis≥a Warszawa;12.10.2019Wis≥a Warszawa-1:3-#VolleyWroc≥aw;12.10.2019, 18:00;2019/2020;zasadnicza;1
;*;*;*;;2;7;2;0;0,67;5;1;3;0;0%;0;0%;0;0;0;0;0%;0;0,00;1 Roksana Wers ;#VolleyWroc≥aw;12.10.2019Wis≥a Warszawa-1:3-#VolleyWroc≥aw;12.10.2019, 18:00;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;3 Klaudia Felak ;#VolleyWroc≥aw;12.10.2019Wis≥a Warszawa-1:3-#VolleyWroc≥aw;12.10.2019, 18:00;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;4 £ucja Kuriata ;#VolleyWroc≥aw;12.10.2019Wis≥a Warszawa-1:3-#VolleyWroc≥aw;12.10.2019, 18:00;2019/2020;zasadnicza;1
5;5;6;5;;9;12;0;0;0,00;2;1;0;0;0%;0;0%;13;0;0;7;54%;2;0,50;5 Aleksandra Gancarz ;#VolleyWroc≥aw;12.10.2019Wis≥a Warszawa-1:3-#VolleyWroc≥aw;12.10.2019, 18:00;2019/2020;zasadnicza;1
3;3;4;3;;19;23;5;6;1,25;0;0;0;0;-;0;-;33;4;3;13;39%;1;0,25;6 Aleksandra RasiÒska ;#VolleyWroc≥aw;12.10.2019Wis≥a Warszawa-1:3-#VolleyWroc≥aw;12.10.2019, 18:00;2019/2020;zasadnicza;1
6;6;1;6;;3;20;1;1;0,25;0;0;0;0;-;0;-;6;1;0;2;33%;0;0,00;7 Natalia Gajewska ;#VolleyWroc≥aw;12.10.2019Wis≥a Warszawa-1:3-#VolleyWroc≥aw;12.10.2019, 18:00;2019/2020;zasadnicza;1
2;2;3;2;;15;15;0;1;0,00;0;0;0;0;-;0;-;18;2;1;11;61%;4;1,00;8 Magdalena Soter ;#VolleyWroc≥aw;12.10.2019Wis≥a Warszawa-1:3-#VolleyWroc≥aw;12.10.2019, 18:00;2019/2020;zasadnicza;1
1;1;2;1;;14;12;0;2;0,00;23;3;4;13;57%;9;39%;29;2;4;12;41%;2;0,50;9 Natalia Murek ;#VolleyWroc≥aw;12.10.2019Wis≥a Warszawa-1:3-#VolleyWroc≥aw;12.10.2019, 18:00;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;11 Dominika Mras ;#VolleyWroc≥aw;12.10.2019Wis≥a Warszawa-1:3-#VolleyWroc≥aw;12.10.2019, 18:00;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;12 Magdalena Dzikowicz (L);#VolleyWroc≥aw;12.10.2019Wis≥a Warszawa-1:3-#VolleyWroc≥aw;12.10.2019, 18:00;2019/2020;zasadnicza;1
*;*;*;*;;0;0;0;0;0,00;20;0;9;11;55%;7;35%;0;0;0;0;0%;0;0,00;15 Karolina Pancewicz (L);#VolleyWroc≥aw;12.10.2019Wis≥a Warszawa-1:3-#VolleyWroc≥aw;12.10.2019, 18:00;2019/2020;zasadnicza;1
4;4;5;4;;13;11;0;3;0,00;32;3;8;14;44%;8;25%;23;2;2;9;39%;4;1,00;17 Kinga Kasprzak ;#VolleyWroc≥aw;12.10.2019Wis≥a Warszawa-1:3-#VolleyWroc≥aw;12.10.2019, 18:00;2019/2020;zasadnicza;1
;*;*;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;18 Roksana Irzemska ;#VolleyWroc≥aw;12.10.2019Wis≥a Warszawa-1:3-#VolleyWroc≥aw;12.10.2019, 18:00;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;22 Karolina Fedorek ;#VolleyWroc≥aw;12.10.2019Wis≥a Warszawa-1:3-#VolleyWroc≥aw;12.10.2019, 18:00;2019/2020;zasadnicza;1
;*;*;*;;2;0;0;0;0,00;3;1;0;1;33%;1;33%;6;1;2;2;33%;0;0,00;1 Alexandra Frantti ;Developres SkyRes RzeszÛw;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;2 Gabriela PolaÒska ;Developres SkyRes RzeszÛw;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
6;1;6;4;;10;18;3;2;0,75;0;0;0;0;-;0;-;14;0;0;4;29%;3;0,75;3 Kamila Witkowska ;Developres SkyRes RzeszÛw;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;4 Magdalena Grabka ;Developres SkyRes RzeszÛw;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
;;*;*;;1;7;0;0;0,00;0;0;0;0;-;0;-;3;0;2;1;33%;0;0,00;5 Magdalena Hawry≥a ;Developres SkyRes RzeszÛw;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
5;6;5;6;;10;13;0;0;0,00;8;0;4;4;50%;2;25%;21;1;3;9;43%;1;0,25;7 Jelena BlagojeviÊ ;Developres SkyRes RzeszÛw;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
1;2;1;2;;2;17;0;0;0,00;0;0;0;0;-;0;-;6;0;0;2;33%;0;0,00;9 Anna Kaczmar ;Developres SkyRes RzeszÛw;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
3;4;3;1;;9;8;0;4;0,00;0;0;0;0;-;0;-;11;0;1;5;45%;4;1,00;10 Zuzanna Efimienko-M≥otkowska ;Developres SkyRes RzeszÛw;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
2;3;2;3;;15;20;1;1;0,25;41;3;9;18;44%;7;17%;34;1;2;14;41%;0;0,00;12 Michaela Mlejnkova ;Developres SkyRes RzeszÛw;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;15 Tamara Ga≥ucha ;Developres SkyRes RzeszÛw;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
*;*;*;*;;0;0;0;0;0,00;28;1;6;14;50%;7;25%;0;0;0;0;0%;0;0,00;17 Aleksandra Krzos (L);Developres SkyRes RzeszÛw;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
4;5;4;5;;25;13;1;0;0,25;0;0;0;0;-;0;-;39;2;2;23;59%;1;0,25;18 Katarzyna ZaroúliÒska-KrÛl ;Developres SkyRes RzeszÛw;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;20 Daria Przyby≥a (L);Developres SkyRes RzeszÛw;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
6;6;6;6;;5;8;0;0;0,00;0;0;0;0;-;0;-;6;0;0;3;50%;2;0,50;1 Maja Tokarska ;DPD Legionovia Legionowo;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
4;4;4;4;;18;13;2;1;0,50;0;0;0;0;-;0;-;43;5;4;15;35%;1;0,25;3 Julie Oliveira Souza ;DPD Legionovia Legionowo;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;4 Magda KarpiÒska ;DPD Legionovia Legionowo;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;6 Kamila Dydu≥a ;DPD Legionovia Legionowo;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
5;5;5;5;;14;16;0;1;0,00;44;2;12;20;45%;12;27%;34;2;5;13;38%;1;0,25;7 Magdalena Damaske-Dawid ;DPD Legionovia Legionowo;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;9 Alicja WÛjcik ;DPD Legionovia Legionowo;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
;;;*;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;10 Agnieszka Adamek (L);DPD Legionovia Legionowo;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
*;*;*;*;;0;0;0;0;0,00;17;0;2;9;53%;5;29%;0;0;0;0;0%;0;0,00;11 Izabela LemaÒczyk (L);DPD Legionovia Legionowo;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;12 Olga Strantzali ;DPD Legionovia Legionowo;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
2;2;2;2;;22;21;2;2;0,50;28;3;7;10;36%;5;18%;39;5;0;17;44%;3;0,75;16 Juliette Fidon-Lebleu ;DPD Legionovia Legionowo;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
3;3;3;3;;6;13;1;1;0,25;0;0;0;0;-;0;-;10;2;0;4;40%;1;0,25;17 Justyna £ukasik ;DPD Legionovia Legionowo;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
1;1;1;1;;6;12;0;1;0,00;0;0;0;0;-;0;-;4;0;0;2;50%;4;1,00;21 Alicja Grabka ;DPD Legionovia Legionowo;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
*;;*;*;;0;4;0;1;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;62 Marta Matejko ;DPD Legionovia Legionowo;11.10.2019Developres SkyRes RzeszÛw-3:1-DPD Legionovia Legionowo;11.10.2019, 17:30;2019/2020;zasadnicza;1
*;*;;;;1;2;1;0;0,50;0;0;0;0;-;0;-;1;0;0;0;0%;0;0,00;1 Ewelina Polak ;Grupa Azoty Chemik Police;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
1;1;1;;;10;8;0;1;0,00;17;2;5;8;47%;7;41%;19;1;2;10;53%;0;0,00;2 Martyna Grajber ;Grupa Azoty Chemik Police;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
3;3;3;;;11;9;0;0;0,00;1;0;0;0;0%;0;0%;19;1;1;11;58%;0;0,00;3 Iryna Trushkina ;Grupa Azoty Chemik Police;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
6;6;6;;;3;7;2;0;0,67;0;0;0;0;-;0;-;2;0;0;1;50%;0;0,00;4 Marlena Kowalewska ;Grupa Azoty Chemik Police;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
